"지역별(1)","시점","도착출발별(1)",운항 (편),여객 (명),화물 (톤)
"일본","2016.08","출발",4000,689220,17780
"일본","2016.09","도착",3941,632393,20842
"일본","2016.09","출발",3936,661451,18871
"일본","2016.10","도착",4069,700817,22442
"일본","2016.10","출발",4071,692820,21384
"일본","2016.11","도착",4061,661733,22167
"일본","2016.11","출발",4061,666651,21404
"일본","2016.12","도착",4321,714262,24885
"일본","2016.12","출발",4323,702923,20865
"일본","2017.01","도착",4518,769520,22989
"일본","2017.01","출발",4523,828134,20367
"일본","2017.02","도착",4146,794149,24612
"일본","2017.02","출발",4147,764272,19355
"일본","2017.03","도착",4481,776854,25511
"일본","2017.03","출발",4493,781272,22887
"일본","2017.04","도착",4367,708705,21262
"일본","2017.04","출발",4373,745832,20771
"일본","2017.05","도착",4684,727533,20392
"일본","2017.05","출발",4679,711232,18423
"일본","2017.06","도착",4539,723735,21118
"일본","2017.06","출발",4538,743414,18813
"일본","2017.07","도착",4888,798786,21386
"일본","2017.07","출발",4897,835513,19917
"일본","2017.08","도착",4949,922007,22313
"일본","2017.08","출발",4944,864656,20786
"일본","2017.09","도착",4694,751978,21355
"일본","2017.09","출발",4708,821066,22018
"일본","2017.10","도착",4958,843408,21563
"일본","2017.10","출발",4949,798396,20771
"일본","2017.11","도착",4793,840331,22881
"일본","2017.11","출발",4798,857010,23223
"일본","2017.12","도착",5100,894881,24853
"일본","2017.12","출발",5109,878179,21729
"일본","2018.01","도착",5364,948756,23337
"일본","2018.01","출발",5364,1001683,21730
"일본","2018.02","도착",4862,911149,24594
"일본","2018.02","출발",4865,890552,19553
"일본","2018.03","도착",5240,949073,26707
"일본","2018.03","출발",5255,950969,23417
"일본","2018.04","도착",4950,882833,25094
"일본","2018.04","출발",4943,867005,20928
"일본","2018.05","도착",5175,859118,23351
"일본","2018.05","출발",5175,880760,19691
"일본","2018.06","도착",5088,855213,24187
"일본","2018.06","출발",5084,857828,19086
"일본","2018.07","도착",5288,851529,22611
"일본","2018.07","출발",5308,891026,20205
"일본","2018.08","도착",5353,988627,23434
"일본","2018.08","출발",5341,929216,20512
"일본","2018.09","도착",4423,737862,22331
"일본","2018.09","출발",4392,765833,20445
"일본","2018.10","도착",5271,888315,24268
"일본","2018.10","출발",5286,881839,22601
"일본","2018.11","도착",5253,881198,23397
"일본","2018.11","출발",5258,895325,22435
"일본","2018.12","도착",5528,970334,24138
"일본","2018.12","출발",5532,943523,21775
"일본","2019.01","도착",5673,972547,21511
"일본","2019.01","출발",5671,1046476,21033
"일본","2019.02","도착",5164,950534,21611
"일본","2019.02","출발",5165,921771,17936
"일본","2019.03","도착",5632,1002798,22924
"일본","2019.03","출발",5632,986276,21915
"일본","2019.04","도착",5425,926336,21907
"일본","2019.04","출발",5433,833036,18680
"일본","2019.05","도착",5630,851495,18344
"일본","2019.05","출발",5624,946757,19432
"일본","2019.06","도착",5517,921289,20141
"일본","2019.06","출발",5514,923386,17905
"일본","2019.07","도착",5740,895706,19322
"일본","2019.07","출발",5741,907319,18349
"일본","2019.08","도착",5507,804985,18381
"일본","2019.08","출발",5495,724054,17226
"일본","2019.09","도착",4080,520658,14541
"일본","2019.09","출발",4083,554813,16811
"일본","2019.10","도착",3519,529979,14813
"일본","2019.10","출발",3524,522347,17423
"일본","2019.11","도착",3361,522275,14409
"일본","2019.11","출발",3360,532052,18354
"일본","2019.12","도착",3825,605141,16867
"일본","2019.12","출발",3831,560580,16759
"일본","2020.01","도착",3928,570606,14284
"일본","2020.01","출발",3926,632871,16502
"일본","2020.02","도착",3625,434860,14641
"일본","2020.02","출발",3625,407988,14985
"일본","2020.03","도착",856,37958,11350
"일본","2020.03","출발",849,39031,11378
"일본","2020.04","도착",208,6990,11952
"일본","2020.04","출발",214,1911,11138
"일본","2020.05","도착",202,4111,9330
"일본","2020.05","출발",214,2686,9350
"일본","2020.06","도착",206,3649,9775
"일본","2020.06","출발",214,5307,9106
"일본","2020.07","도착",230,4435,10231
"일본","2020.07","출발",237,5145,10051
"일본","2020.08","도착",215,5022,10942
"일본","2020.08","출발",224,3979,9211
"일본","2020.09","도착",263,4731,12387
"일본","2020.09","출발",270,4378,10011
"일본","2020.10","도착",281,4777,12974
"일본","2020.10","출발",285,6914,11672
"일본","2020.11","도착",290,5935,12699
"일본","2020.11","출발",289,12313,12458
"일본","2020.12","도착",339,7543,14449
"일본","2020.12","출발",339,16674,12693
"일본","2021.01","도착",321,6504,14425
"일본","2021.01","출발",318,12174,11048
"일본","2021.02","도착",319,6684,16116
"일본","2021.02","출발",315,3600,9954
"일본","2021.03","도착",364,5484,17594
"일본","2021.03","출발",355,5415,12115
"일본","2021.04","도착",417,5044,17405
"일본","2021.04","출발",374,4156,11084
"일본","2021.05","도착",335,4568,14431
"일본","2021.05","출발",298,3945,10585
"일본","2021.06","도착",363,4664,15638
"일본","2021.06","출발",322,4852,10809
"일본","2021.07","도착",344,5620,14906
"일본","2021.07","출발",305,5875,11803
"일본","2021.08","도착",318,9446,14320
"일본","2021.08","출발",284,4922,10908
"일본","2021.09","도착",390,5412,14595
"일본","2021.09","출발",339,6639,13444
"일본","2021.10","도착",363,8077,13996
"일본","2021.10","출발",321,7056,12404
"일본","2021.11","도착",358,7964,12225
"일본","2021.11","출발",340,8356,12750
"일본","2021.12","도착",365,6447,13316
"일본","2021.12","출발",347,7776,12841
"일본","2022.01","도착",284,5567,11703
"일본","2022.01","출발",270,5164,9974
"일본","2022.02","도착",292,8607,13527
"일본","2022.02","출발",272,4281,10154
"일본","2022.03","도착",391,8290,14874
"일본","2022.03","출발",360,13338,13402
"일본","2022.04","도착",394,15903,14395
"일본","2022.04","출발",382,21508,10966
"일본","2022.05","도착",422,17343,13171
"일본","2022.05","출발",415,26769,10822
"일본","2022.06","도착",490,29071,15183
"일본","2022.06","출발",478,31511,10627
"일본","2022.07","도착",712,53808,13904
"일본","2022.07","출발",698,52914,10906
"일본","2022.08","도착",909,84710,12909
"일본","2022.08","출발",907,79892,11751
"일본","2022.09","도착",852,79256,13311
"일본","2022.09","출발",852,88644,13589
"일본","2022.10","도착",1374,198303,14569
"일본","2022.10","출발",1374,217829,13224
"일본","2022.11","도착",2581,399719,15549
"일본","2022.11","출발",2583,420360,15649
"일본","2022.12","도착",3455,582596,19321
"일본","2022.12","출발",3453,579227,16045
"일본","2023.01","도착",3829,650241,16761
"일본","2023.01","출발",3832,683038,15621
"일본","2023.02","도착",3612,700544,18714
"일본","2023.02","출발",3612,678979,14902
"일본","2023.03","도착",4078,712285,20022
"일본","2023.03","출발",4083,720774,18145
"일본","2023.04","도착",4070,680136,18267
"일본","2023.04","출발",4070,660545,14611
"일본","2023.05","도착",4397,735458,16645
"일본","2023.05","출발",4397,750453,14836
"일본","2023.06","도착",4313,762948,18269
"일본","2023.06","출발",4316,766087,16138
"일본","2023.07","도착",4791,859531,18423
"일본","2023.07","출발",4795,879956,16346
"일본","2023.08","도착",4870,912314,19044
"일본","2023.08","출발",4864,864746,16897
"중국","2005.01","도착",1830,277197,15803
"중국","2005.01","출발",1847,259680,11159
"중국","2005.02","도착",1667,225421,13123
"중국","2005.02","출발",1679,243762,10279
"중국","2005.03","도착",1737,229094,18385
"중국","2005.03","출발",1756,236094,12409
"중국","2005.04","도착",1849,279924,17754
"중국","2005.04","출발",1862,279984,12624
"중국","2005.05","도착",1987,274398,16719
"중국","2005.05","출발",1998,292130,12268
"중국","2005.06","도착",1962,282257,17365
"중국","2005.06","출발",1978,287131,12534
"중국","2005.07","도착",2141,307901,17911
"중국","2005.07","출발",2157,317187,12907
"중국","2005.08","도착",2172,366665,17760
"중국","2005.08","출발",2178,357792,13993
"중국","2005.09","도착",2009,274042,17792
"중국","2005.09","출발",2012,271282,12937
"중국","2005.10","도착",2116,315938,18276
"중국","2005.10","출발",2122,301162,13009
"중국","2005.11","도착",1961,251898,18925
"중국","2005.11","출발",1964,237379,11862
"중국","2005.12","도착",2030,214658,16505
"중국","2005.12","출발",2029,209324,11813
"중국","2006.01","도착",2155,294453,18665
"중국","2006.01","출발",2144,230649,10967
"중국","2006.02","도착",1914,241519,14696
"중국","2006.02","출발",1916,295301,11413
"중국","2006.03","도착",2113,259003,21754
"중국","2006.03","출발",2108,247424,12096
