"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"1982.08",12.3,-,-,-,-,-,-,-,13.0,-,-,-,-,-,-,-,13.1,-,-,-,-,-
"1982.09",12.4,-,-,-,-,-,-,-,13.2,-,-,-,-,-,-,-,13.1,-,-,-,-,-
"1982.10",12.5,-,-,-,-,-,-,-,13.2,-,-,-,-,-,-,-,13.1,-,-,-,-,-
"1982.11",12.6,-,-,-,-,-,-,-,13.3,-,-,-,-,-,-,-,13.2,-,-,-,-,-
"1982.12",12.7,-,-,-,-,-,-,-,13.4,-,-,-,-,-,-,-,13.3,-,-,-,-,-
"1983.01",12.9,-,-,-,-,-,-,-,13.5,-,-,-,-,-,-,-,13.4,-,-,-,-,-
"1983.02",13.0,-,-,-,-,-,-,-,13.6,-,-,-,-,-,-,-,13.5,-,-,-,-,-
"1983.03",13.1,-,-,-,-,-,-,-,13.6,-,-,-,-,-,-,-,13.6,-,-,-,-,-
"1983.04",13.2,-,-,-,-,-,-,-,13.7,-,-,-,-,-,-,-,13.6,-,-,-,-,-
"1983.05",13.4,-,-,-,-,-,-,-,13.8,-,-,-,-,-,-,-,13.6,-,-,-,-,-
"1983.06",13.5,-,-,-,-,-,-,-,13.9,-,-,-,-,-,-,-,13.7,-,-,-,-,-
"1983.07",13.6,-,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,13.8,-,-,-,-,-
