대여소,상태,주소,위도,경도,구
교육개발원입구 교차로,운영중,서울특별시 서초구 바우뫼로1길 35 서초구 양재동 20-40,37.477852,127.03891000000002,서초구
양재초등학교 맞은편,운영중,서울특별시 서초구 바우뫼로18길 14 서초구 양재동 127-1,37.47361400000001,127.03051,서초구
서울시 품질시험소 앞,운영중,서울특별시 서초구 태봉로 131 서초구 우면동 23-14,37.4692,127.029007,서초구
섬들근린공원,운영중,서울특별시 서초구 태봉로2길 24 우면동 718,37.462639,127.026619,서초구
서초리슈빌S 글로벌 앞,운영중,서울특별시 서초구 양재대로2길 8 우면동 785,37.45995300000001,127.024742,서초구
우솔초등학교 맞은편,운영중,서울특별시 서초구 양재대로2길 74 우면동 754,37.456234,127.019348,서초구
앙카라공원 앞,운영중,서울특별시 영등포구 의사당대로 지하166 앙카라공원 앞,37.517368,126.929253,영등포구
서초유치원 맞은편,운영중,서울특별시 서초구 양재대로2길 74 우면동 754,37.455799,127.016289,서초구
더케이호텔 입구(양재2),운영중,서울특별시 서초구 바우뫼로12길 70 더케이호텔 입구(양재2),37.467506,127.034477,서초구
하이브랜드 앞,운영중,서울특별시 서초구 매헌로 16 양재동 217-3,37.463322,127.036041,서초구
시민의숲역 1번출구 옆,운영중,서울특별시 서초구 매헌로 지하 116 양재동 238,37.47044,127.038857,서초구
양재동 꽃시장 입구,운영중,서울특별시 서초구 강남대로 27 양재동 238,37.46769000000001,127.040359,서초구
하나로클럽 양재점 맞은편,운영중,서울특별시 서초구 청계산로 10 양재동 238-1,37.462688,127.046112,서초구
구룡사 삼거리,운영중,서울특별시 강남구 논현로2길 22 개포동 1277,37.471539,127.050591,강남구
잠원역 3번-4번 출구사이,운영중,"서울특별시 서초구 잠원로4길 지하 46 잠원역 3,4번 출구사이",37.51298900000001,127.011177,서초구
샛강역 1번출구 앞,운영중,서울특별시 영등포구 의사당대로 지하166 샛강역 1번출구 앞,37.517765,126.928413,영등포구
한신16차아파트 119동 앞,운영중,서울특별시 서초구 나루터로4길 60 서초구 잠원동 78,37.516598,127.00959,서초구
바우뫼문화복지회관,운영중,서울특별시 서초구 바우뫼로 43 서초구 우면동 68-3,37.47192800000001,127.02684,서초구
이수역 1번출구,운영중,서울특별시 서초구 동작대로 134 이수역 1번 출구,37.488556,126.982574,서초구
이수고가차도 남단,운영중,서울특별시 서초구 동작대로 196 상록빌딩,37.494106,126.982994,서초구
서초역 3번출구,운영중,서울특별시 서초동 1748-14 서초역 3번출구,37.49054,127.00816299999998,서초구
서초4동주민센터,운영중,서울특별시 서초동 1389 서초4동주민센터,37.502319,127.02227,서초구
주홍교 하부,운영중,서울특별시 잠원동 91-29 주홍교 하부,37.510349,127.016052,서초구
서초포레스타 7단지,운영중,서울특별시 신원동 266 서초포레스타 7단지,37.448967,127.05773899999998,서초구
내방역 8번출구 앞,운영중,서울특별시 서초구 방배로 162 내방역 8번출구 앞,37.487865,126.994293,서초구
교대입구 교차로,운영중,서울특별시 서초동 1748-33 교대입구 교차로,37.487309,127.010582,서초구
일동제약 사거리,운영중,서울특별시 양재동 67-12 일동제약 사거리,37.477829,127.038269,서초구
양재시민의숲역 3번출구,운영중,서울특별시 양재동 316-11 양재시민의숲역 3번출구,37.46965,127.039612,서초구
염곡치안센터 건너편,운영중,서울특별시 염곡동 260-1 염곡치안센터 건너편,37.461578,127.048798,서초구
영동1교 (양재천근린공원),운영중,서울특별시 양재동 261-23 영동1교 (양재천근린공원),37.474388,127.038902,서초구
길마중4교 하부,운영중,서울특별시 잠원동 84-3 길마중4교 하부,37.51487,127.015282,서초구
교대역 5번출구뒤,운영중,서울특별시 서초구 서초중앙로 130 교대역 5번출구 뒤,37.493618,127.014183,서초구
선유도역 3번출구 앞,운영중,서울특별시 영등포구 양평동4가 202-1 선유도역 3번출구 앞,37.53846,126.894508,영등포구
서울서초고용센터앞,운영중,서울특별시 서초구 반포대로 43 서울서초고용센터 앞,37.484161,127.010971,서초구
연세사랑병원신관앞,운영중,서울특별시 서초구 효령로 10 연세사랑병원신관 앞,37.475979,126.986282,서초구
방배래미안아트힐 101동앞,운영중,서울특별시 서초구 남부순환로 2311-12 방배래미안아트힐 101동앞,37.477203,127.00583600000002,서초구
그룹한빌딩옆,운영중,서울특별시 서초구 서초대로 62 그룹한빌딩 옆,37.486526,126.989166,서초구
CJ오쇼핑앞,운영중,서울특별시 서초구 과천대로 870-13 CJ오쇼핑 앞,37.468102,126.986801,서초구
LH서초3단지 301동 맞은편,운영중,서울특별시 서초구 양재대로2길 33 LH서초3단지 301동 맞은편,37.457424,127.022652,서초구
탑성마을입구,운영중,서울특별시 서초구 탑성말길 2 탑성마을입구,37.458549,127.055885,서초구
능안마을입구,운영중,서울특별시 서초구 능안말길 1-2 능안마을입구,37.45562,127.067101,서초구
안골마을입구,운영중,서울특별시 서초구 안골2길 3 안골마을입구,37.45560800000001,127.064453,서초구
남태령역 2번출구,운영중,서울특별시 서초구 과천대로 810 남태령역 2번출구,37.464298,126.988525,서초구
양평1 보행육교 앞,운영중,서울특별시 영등포구 양평동4가 20-4 양평1 보행육교 앞,37.535873,126.892181,영등포구
서래마을파리15구공원앞,운영중,서울특별시 서초구 동광로39길 93 서래마을파리15구공원 앞,37.499413,126.999413,서초구
무지개아파트 앞,운영중,서울특별시 서초구 효령로 391 무지개아파트 앞,37.488243,127.027016,서초구
SPC 앞,운영중,서울특별시 서초구 남부순환로 2620 SPC 앞,37.484798,127.036995,서초구
두상빌딩 앞,운영중,서울특별시 서초구 언남길 87 두상빌딩 앞,37.475906,127.046242,서초구
남부터미널역 1번출구,운영중,서울특별시 서초구 서초중앙로 38 남부터미널역 1번출구,37.485672,127.015923,서초구
래미안서초스위트앞,운영중,서울특별시 서초구 서운로 221 래미안서초스위트앞,37.502411,127.021606,서초구
